Portfolio,Cost basis,CAGR,Volatility,Sharpe,Maximum drawdown,Annualized L1 turnover
ADAA — equal 20%,Gross,0.1065618775532641,0.0896903533413826,1.0340677164197127,-0.0999510185192869,5.81439924388415
ADAA — equal 20%,25 bps one-way,0.090716980806025,0.0896502999298306,0.8728920659216697,-0.1042743199325105,5.81439924388415
ADAA — historical weights,Gross,0.1080115612575247,0.0897365950815567,1.0486328645073972,-0.1016394653026918,5.2781284675211495
ADAA — historical weights,25 bps one-way,0.0935984458017298,0.089737691177345,0.9019673925273488,-0.1057665697516062,5.2781284675211495
SPY,Gross,0.1167690530582985,0.1572895082975367,0.7037407628961072,-0.4179549375032315,0.0
SPY,25 bps one-way,0.1167690530582985,0.1572895082975367,0.7037407628961072,-0.4179549375032315,0.0
60/40 SPY/IEF,Gross,0.0843538036922297,0.0971557474893574,0.7537099945960076,-0.250555331532992,0.2176008614147091
60/40 SPY/IEF,25 bps one-way,0.083768719606261,0.097145466880221,0.7482117950188663,-0.2510266161408799,0.2176008614147091
HAA — hindsight strongest sleeve,Gross,0.1296509597727861,0.1070445022765859,1.0743505240767763,-0.0996550154908879,6.3388587952157405
HAA — hindsight strongest sleeve,25 bps one-way,0.1119908238106444,0.1075838029689343,0.9222928052326652,-0.1029298838902763,6.3388587952157405
